STATUS,UNIVERSITY NAME,FACULTY NAME,LEVEL TYPE,YEARS,BRANCH TYPE,CATEGORY NAME,SERIES NAME,SUB SERIES NAME,COLOR,PROD SUM PRICE,PROD TOTAL AMT,INSTALL NUM,INSTALL SUM FINAL,HP VAT SUM
Wait Welcome Call,มหาวิทยาลัยนเรศวร,วิศวกรรมศาสตร์​,ปริญญาตรี,1,2.0,Tablet,iPad 10.2-inch Wi-Fi (9th Gen),64GB,Space Gray,12100,15559,9,1800.09,16200.81
Overdue 1,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตเฉลิมพระเกียรติ,การจัดการ,ปริญญาตรี,2,3.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,Black,16900,16900,24,957.67,22984.08
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,2,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Starlight,21900,26490,9,3064.75,27582.75
Overdue 1,วิทยาลัยเทคนิคนครราชสีมา,บริหารธุรกิจ,เทียบเท่าปริญญาตรี,1,3.0,Smart Phone,iPhone 13,128GB,Pink,26900,26900,12,2477.04,29724.48
Overdue 1,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตศรีราชา ,การจัดการ,ปริญญาโท,2,2.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร ศูนย์พณิชยการพระนคร,วิจิตรศิลป์/มัณฑนศิลป์/จิตรกรรม/สถาปัตยกรรม/โบราณคดี,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยขอนแก่น,เกษตรศาสตร์/ประมง/สิ่งแวดล้อม/ทรัพยากร/วนศาสตร์,ปริญญาตรี,4,1.0,Laptop,MacBook Air 13: M1 chip 8C CPU/7C GPU/8GB/256GB - 2020,256GB,Space Grey,28800,28800,18,1972,35496
Overdue 1,มหาวิทยาลัยเทคโนโลยีสุรนารี,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,1,1.0,Tablet,iPad Air 10.9-inch Wi-Fi + Cellular (5th Gen),256GB,Space Gray,33900,33900,18,2126.67,38280.06
Overdue 1,มหาวิทยาลัยมหาสารคาม,รัฐศาสตร์/การเมือง/การปกครอง,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14,128GB,Starlight,29500,29500,18,1782.29,32081.22
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,วิศวกรรมศาสตร์​,ปริญญาตรี,1,1.0,Smart Phone,iPhone 13,128GB,Pink,26900,26900,24,1524.33,36583.92
Overdue 1,มหาวิทยาลัยบูรพา บางแสน,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,4,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Starlight,27900,32490,24,1841.1,44186.4
Overdue 1,มหาวิทยาลัยรัตนบัณฑิต,อุตสาหกรรม,ปริญญาตรี,4,3.0,Smart Phone,iPhone 13,128GB,Green,26900,26900,24,1524.33,36583.92
Overdue 1,มหาวิทยาลัยราชภัฏสกลนคร,วิทยาศาสตร์และเทคโนโลยี/วิทยาการคอม,ปริญญาตรี,2,3.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Purple,21900,21900,18,1499.54,26991.72
Overdue 1,มหาวิทยาลัยราชภัฏสุราษฎ์ธานี,การจัดการ,ปริญญาตรี,1,2.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Purple,21900,21900,18,1499.54,26991.72
Overdue 1,มหาวิทยาลัยรามคำแหง,ศึกษาศาสตร์/ครุศาสตร์,ปริญญาโท,1,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Overdue 1,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง วิทยาเขตชุมพรเขตรอุดมศักดิ์,วิศวกรรมศาสตร์​,ปริญญาตรี,3,3.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Purple,21900,29480,24,1670.54,40092.96
